Puzzle,Solution
3102200002100320,3142243142131324
0140432014020000,2143432114323214
4310010000303420,4312214312343421
2004001203201003,2134341243211243
0024003101000413,1324423131422413
2013132000400200,2413132431424231
0003300210002431,4213314213242431
0400010002311340,2413312442311342
3040413004000304,3241413224131324
2100031004211000,2143431234211234
4020231402001000,4123231432411432
0031300000422403,4231312413422413
0000241302310100,1324241342313142
0104340140031000,2134342142131342
0103040102340010,2143342112344312
0324041000404030,1324241332414132
0410034001004230,2413134231244231
0234342040020000,1234342143122143
0003300104302310,4123324114322314
2100400000320214,2143432114323214
3002000021004321,3412123421434321
2014042040303000,2314142341323241
0420230000414030,1423231432414132
0400300101202304,1432324141232314
1400200132100030,1423234132144132
0040031212003400,2143431212343421
2104031002001400,2134431232411423
3004000110402410,3124423113422413
0243300221000300,1243341221344321
4000213412003000,4321213412433412
0203040003210104,1243341243212134
0301214300040400,4321214312343412
1004401200403400,1234431221433421
0304012010320001,2314412314323241
0243001204010004,1243431234212134
0000010002343412,4321214312343412
4010203400001240,4312213434211243
0030431230001003,2134431232411423
0014002001004231,2314142331424231
0103000114320004,2143432114323214
4001020004100134,4321124334122134
2103300112040000,2143342112344312
1340000020103120,1342423124133124
0023024120000402,4123324123141432
1030230030200013,1432234131244213
0020003101433400,1324423121433412
0341413000041000,2341413232141423
3100201342000040,3124241342311342
0002004100244210,1432234131244213
0410100001244200,2413134231244231
1002200101240200,1342243131244213
3020120443000003,3421123443122143
2010004201004031,2413134231244231
0021200403020240,3421213443121243
1000000123100132,1423324123144132
3214010000411000,3214412323411432
0034300143100040,2134342143121243
1032300003012040,1432321443212143
0000304213040031,4213314213242431
3002023020040403,3142423123141423
0004300103121003,2134342143121243
0040020024103024,1342423124133124
1000420034012004,1342421334212134
4021213000001200,4321213434121243
0240001243002004,1243341243212134
2304000041003041,2314142341323241
0400123420004300,3421123421434312
4001000430402403,4231132431422413
0000100420013142,4213132424313142
0020304120044030,1423324123144132
0002001324011004,3142421324311324
2400100042013020,2413134242313124
4123000100340002,4123234112343412
0002403020033024,1342423124133124
3410000040211040,3412213443211243
0002423100130020,3142423124131324
0304023001000412,1324423121433412
1304000101403010,1324423121433412
0103304100020304,4123324114322314
0431012012400000,2431312412434312
2004410010033020,2314413212433421
0100200104033210,4132234114233214
0100402134001030,2143432134121234
